,columns,missing values count
313,Sensor - 314,78
314,Sensor - 315,78
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,5
327,Sensor - 328,5
328,Sensor - 329,5
329,Sensor - 330,5
330,Sensor - 331,5
331,Sensor - 332,5
332,Sensor - 333,27
333,Sensor - 334,27
334,Sensor - 335,27
335,Sensor - 336,27
336,Sensor - 337,27
337,Sensor - 338,27
338,Sensor - 339,27
339,Sensor - 340,27
340,Sensor - 341,27
341,Sensor - 342,27
342,Sensor - 343,27
343,Sensor - 344,27
344,Sensor - 345,27
345,Sensor - 346,2855
346,Sensor - 347,2855
347,Sensor - 348,27
348,Sensor - 349,144
349,Sensor - 350,144
350,Sensor - 351,144
351,Sensor - 352,144
352,Sensor - 353,144
353,Sensor - 354,144
354,Sensor - 355,144
355,Sensor - 356,144
356,Sensor - 357,6
357,Sensor - 358,10
358,Sensor - 359,3298
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,266
363,Sensor - 364,266
364,Sensor - 365,26
365,Sensor - 366,11
366,Sensor - 367,11
367,Sensor - 368,26
368,Sensor - 369,26
369,Sensor - 370,26
370,Sensor - 371,26
371,Sensor - 372,26
372,Sensor - 373,26
373,Sensor - 374,26
374,Sensor - 375,26
375,Sensor - 376,26
376,Sensor - 377,11
377,Sensor - 378,11
378,Sensor - 379,26
379,Sensor - 380,26
380,Sensor - 381,26
381,Sensor - 382,26
382,Sensor - 383,1534
383,Sensor - 384,1534
384,Sensor - 385,1534
385,Sensor - 386,3014
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,144
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,18
395,Sensor - 396,18
396,Sensor - 397,18
397,Sensor - 398,18
398,Sensor - 399,18
399,Sensor - 400,18
400,Sensor - 401,18
401,Sensor - 402,18
402,Sensor - 403,18
403,Sensor - 404,18
404,Sensor - 405,18
405,Sensor - 406,18
406,Sensor - 407,18
407,Sensor - 408,18
408,Sensor - 409,0
409,Sensor - 410,5
410,Sensor - 411,16
411,Sensor - 412,67
412,Sensor - 413,67
413,Sensor - 414,67
414,Sensor - 415,67
415,Sensor - 416,67
416,Sensor - 417,44
417,Sensor - 418,12
418,Sensor - 419,12
419,Sensor - 420,12
420,Sensor - 421,12
421,Sensor - 422,12
422,Sensor - 423,18
423,Sensor - 424,18
424,Sensor - 425,18
425,Sensor - 426,18
426,Sensor - 427,18
427,Sensor - 428,18
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,5
431,Sensor - 432,5
432,Sensor - 433,5
433,Sensor - 434,5
434,Sensor - 435,5
435,Sensor - 436,5
436,Sensor - 437,5
437,Sensor - 438,5
438,Sensor - 439,5
439,Sensor - 440,5
440,Sensor - 441,5
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,78
450,Sensor - 451,78
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,5
463,Sensor - 464,5
464,Sensor - 465,5
465,Sensor - 466,5
466,Sensor - 467,5
467,Sensor - 468,5
468,Sensor - 469,27
469,Sensor - 470,27
470,Sensor - 471,27
471,Sensor - 472,27
472,Sensor - 473,27
473,Sensor - 474,27
474,Sensor - 475,27
475,Sensor - 476,27
476,Sensor - 477,27
477,Sensor - 478,27
478,Sensor - 479,27
479,Sensor - 480,27
480,Sensor - 481,27
481,Sensor - 482,27
482,Sensor - 483,144
483,Sensor - 484,144
484,Sensor - 485,144
485,Sensor - 486,144
486,Sensor - 487,144
487,Sensor - 488,144
488,Sensor - 489,144
489,Sensor - 490,144
490,Sensor - 491,6
491,Sensor - 492,10
492,Sensor - 493,3298
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,266
497,Sensor - 498,266
498,Sensor - 499,26
499,Sensor - 500,11
500,Sensor - 501,11
501,Sensor - 502,26
502,Sensor - 503,26
503,Sensor - 504,26
504,Sensor - 505,26
505,Sensor - 506,26
506,Sensor - 507,26
507,Sensor - 508,26
508,Sensor - 509,26
509,Sensor - 510,26
510,Sensor - 511,11
511,Sensor - 512,11
512,Sensor - 513,26
513,Sensor - 514,26
514,Sensor - 515,26
515,Sensor - 516,26
516,Sensor - 517,1534
517,Sensor - 518,1534
518,Sensor - 519,1534
519,Sensor - 520,3014
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,144
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,18
529,Sensor - 530,18
530,Sensor - 531,18
531,Sensor - 532,18
532,Sensor - 533,18
533,Sensor - 534,18
534,Sensor - 535,18
535,Sensor - 536,18
536,Sensor - 537,18
537,Sensor - 538,18
538,Sensor - 539,18
539,Sensor - 540,18
540,Sensor - 541,18
541,Sensor - 542,18
542,Sensor - 543,10
543,Sensor - 544,10
544,Sensor - 545,10
545,Sensor - 546,10
546,Sensor - 547,368
547,Sensor - 548,368
548,Sensor - 549,368
549,Sensor - 550,368
550,Sensor - 551,368
551,Sensor - 552,368
552,Sensor - 553,368
553,Sensor - 554,368
554,Sensor - 555,368
555,Sensor - 556,368
556,Sensor - 557,368
557,Sensor - 558,368
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,80
563,Sensor - 564,80
564,Sensor - 565,80
565,Sensor - 566,80
566,Sensor - 567,80
567,Sensor - 568,80
568,Sensor - 569,80
569,Sensor - 570,80
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,2692
579,Sensor - 580,2692
580,Sensor - 581,2692
581,Sensor - 582,2692
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
